datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,DUQ,1377
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,DUQ,1326
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,DUQ,1290
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,DUQ,1272
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,DUQ,1276
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,DUQ,1298
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,DUQ,1328
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,DUQ,1354
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,DUQ,1383
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,DUQ,1415
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,DUQ,1461
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,DUQ,1489
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,DUQ,1494
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,DUQ,1493
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,DUQ,1487
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,DUQ,1489
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,DUQ,1512
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,DUQ,1614
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,DUQ,1623
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,DUQ,1607
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,DUQ,1590
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,DUQ,1560
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,DUQ,1500
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,DUQ,1421
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,DUQ,1354
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,DUQ,1308
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,DUQ,1284
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,DUQ,1276
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,DUQ,1286
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,DUQ,1329
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,DUQ,1376
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,DUQ,1440
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,DUQ,1486
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,DUQ,1538
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,DUQ,1573
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,DUQ,1588
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,DUQ,1592
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,DUQ,1582
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,DUQ,1560
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,DUQ,1541
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,DUQ,1549
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,DUQ,1647
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,DUQ,1685
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,DUQ,1672
