datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2013 5:00:00 AM,1/1/2013 12:00:00 AM,1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,DUQ,1513
1/1/2013 6:00:00 AM,1/1/2013 1:00:00 AM,1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,DUQ,1448
1/1/2013 7:00:00 AM,1/1/2013 2:00:00 AM,1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,DUQ,1416
1/1/2013 8:00:00 AM,1/1/2013 3:00:00 AM,1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,DUQ,1368
1/1/2013 9:00:00 AM,1/1/2013 4:00:00 AM,1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,DUQ,1359
1/1/2013 10:00:00 AM,1/1/2013 5:00:00 AM,1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,DUQ,1386
1/1/2013 11:00:00 AM,1/1/2013 6:00:00 AM,1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,DUQ,1408
1/1/2013 12:00:00 PM,1/1/2013 7:00:00 AM,1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,DUQ,1426
1/1/2013 1:00:00 PM,1/1/2013 8:00:00 AM,1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,DUQ,1453
1/1/2013 2:00:00 PM,1/1/2013 9:00:00 AM,1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,DUQ,1506
1/1/2013 3:00:00 PM,1/1/2013 10:00:00 AM,1/1/2013 4:00:00 PM,1/1/2013 11:00:00 AM,DUQ,1555
1/1/2013 4:00:00 PM,1/1/2013 11:00:00 AM,1/1/2013 5:00:00 PM,1/1/2013 12:00:00 PM,DUQ,1610
1/1/2013 5:00:00 PM,1/1/2013 12:00:00 PM,1/1/2013 6:00:00 PM,1/1/2013 1:00:00 PM,DUQ,1656
