datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/3/2017 12:00:00 AM,1/2/2017 7:00:00 PM,1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,DUQ,1617
1/3/2017 1:00:00 AM,1/2/2017 8:00:00 PM,1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,DUQ,1571
1/3/2017 2:00:00 AM,1/2/2017 9:00:00 PM,1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,DUQ,1518
1/3/2017 3:00:00 AM,1/2/2017 10:00:00 PM,1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,DUQ,1435
1/3/2017 4:00:00 AM,1/2/2017 11:00:00 PM,1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,DUQ,1340
1/3/2017 5:00:00 AM,1/3/2017 12:00:00 AM,1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,DUQ,1279
1/3/2017 6:00:00 AM,1/3/2017 1:00:00 AM,1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,DUQ,1241
1/3/2017 7:00:00 AM,1/3/2017 2:00:00 AM,1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,DUQ,1227
1/3/2017 8:00:00 AM,1/3/2017 3:00:00 AM,1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,DUQ,1225
1/3/2017 9:00:00 AM,1/3/2017 4:00:00 AM,1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,DUQ,1245
1/3/2017 10:00:00 AM,1/3/2017 5:00:00 AM,1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,DUQ,1326
1/3/2017 11:00:00 AM,1/3/2017 6:00:00 AM,1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,DUQ,1465
1/3/2017 12:00:00 PM,1/3/2017 7:00:00 AM,1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,DUQ,1559
1/3/2017 1:00:00 PM,1/3/2017 8:00:00 AM,1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,DUQ,1575
1/3/2017 2:00:00 PM,1/3/2017 9:00:00 AM,1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,DUQ,1591
1/3/2017 3:00:00 PM,1/3/2017 10:00:00 AM,1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,DUQ,1638
1/3/2017 4:00:00 PM,1/3/2017 11:00:00 AM,1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,DUQ,1632
1/3/2017 5:00:00 PM,1/3/2017 12:00:00 PM,1/3/2017 6:00:00 PM,1/3/2017 1:00:00 PM,DUQ,1637
1/3/2017 6:00:00 PM,1/3/2017 1:00:00 PM,1/3/2017 7:00:00 PM,1/3/2017 2:00:00 PM,DUQ,1625
1/3/2017 7:00:00 PM,1/3/2017 2:00:00 PM,1/3/2017 8:00:00 PM,1/3/2017 3:00:00 PM,DUQ,1622
1/3/2017 8:00:00 PM,1/3/2017 3:00:00 PM,1/3/2017 9:00:00 PM,1/3/2017 4:00:00 PM,DUQ,1634
1/3/2017 9:00:00 PM,1/3/2017 4:00:00 PM,1/3/2017 10:00:00 PM,1/3/2017 5:00:00 PM,DUQ,1660
1/3/2017 10:00:00 PM,1/3/2017 5:00:00 PM,1/3/2017 11:00:00 PM,1/3/2017 6:00:00 PM,DUQ,1694
1/3/2017 11:00:00 PM,1/3/2017 6:00:00 PM,1/4/2017 12:00:00 AM,1/3/2017 7:00:00 PM,DUQ,1704
1/4/2017 12:00:00 AM,1/3/2017 7:00:00 PM,1/4/2017 1:00:00 AM,1/3/2017 8:00:00 PM,DUQ,1666
1/4/2017 1:00:00 AM,1/3/2017 8:00:00 PM,1/4/2017 2:00:00 AM,1/3/2017 9:00:00 PM,DUQ,1619
1/4/2017 2:00:00 AM,1/3/2017 9:00:00 PM,1/4/2017 3:00:00 AM,1/3/2017 10:00:00 PM,DUQ,1565
1/4/2017 3:00:00 AM,1/3/2017 10:00:00 PM,1/4/2017 4:00:00 AM,1/3/2017 11:00:00 PM,DUQ,1465
1/4/2017 4:00:00 AM,1/3/2017 11:00:00 PM,1/4/2017 5:00:00 AM,1/4/2017 12:00:00 AM,DUQ,1389
1/4/2017 5:00:00 AM,1/4/2017 12:00:00 AM,1/4/2017 6:00:00 AM,1/4/2017 1:00:00 AM,DUQ,1315
