datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/3/2015 12:00:00 AM,1/2/2015 7:00:00 PM,1/3/2015 1:00:00 AM,1/2/2015 8:00:00 PM,DUQ,1786
1/3/2015 1:00:00 AM,1/2/2015 8:00:00 PM,1/3/2015 2:00:00 AM,1/2/2015 9:00:00 PM,DUQ,1785
1/3/2015 2:00:00 AM,1/2/2015 9:00:00 PM,1/3/2015 3:00:00 AM,1/2/2015 10:00:00 PM,DUQ,1706
1/3/2015 3:00:00 AM,1/2/2015 10:00:00 PM,1/3/2015 4:00:00 AM,1/2/2015 11:00:00 PM,DUQ,1626
1/3/2015 4:00:00 AM,1/2/2015 11:00:00 PM,1/3/2015 5:00:00 AM,1/3/2015 12:00:00 AM,DUQ,1534
1/3/2015 5:00:00 AM,1/3/2015 12:00:00 AM,1/3/2015 6:00:00 AM,1/3/2015 1:00:00 AM,DUQ,1511
1/3/2015 6:00:00 AM,1/3/2015 1:00:00 AM,1/3/2015 7:00:00 AM,1/3/2015 2:00:00 AM,DUQ,1454
1/3/2015 7:00:00 AM,1/3/2015 2:00:00 AM,1/3/2015 8:00:00 AM,1/3/2015 3:00:00 AM,DUQ,1411
1/3/2015 8:00:00 AM,1/3/2015 3:00:00 AM,1/3/2015 9:00:00 AM,1/3/2015 4:00:00 AM,DUQ,1410
1/3/2015 9:00:00 AM,1/3/2015 4:00:00 AM,1/3/2015 10:00:00 AM,1/3/2015 5:00:00 AM,DUQ,1407
1/3/2015 10:00:00 AM,1/3/2015 5:00:00 AM,1/3/2015 11:00:00 AM,1/3/2015 6:00:00 AM,DUQ,1429
1/3/2015 11:00:00 AM,1/3/2015 6:00:00 AM,1/3/2015 12:00:00 PM,1/3/2015 7:00:00 AM,DUQ,1442
1/3/2015 12:00:00 PM,1/3/2015 7:00:00 AM,1/3/2015 1:00:00 PM,1/3/2015 8:00:00 AM,DUQ,1488
1/3/2015 1:00:00 PM,1/3/2015 8:00:00 AM,1/3/2015 2:00:00 PM,1/3/2015 9:00:00 AM,DUQ,1535
1/3/2015 2:00:00 PM,1/3/2015 9:00:00 AM,1/3/2015 3:00:00 PM,1/3/2015 10:00:00 AM,DUQ,1599
1/3/2015 3:00:00 PM,1/3/2015 10:00:00 AM,1/3/2015 4:00:00 PM,1/3/2015 11:00:00 AM,DUQ,1651
1/3/2015 4:00:00 PM,1/3/2015 11:00:00 AM,1/3/2015 5:00:00 PM,1/3/2015 12:00:00 PM,DUQ,1683
